Issue name,Severity,Path,Domain,Project,Branch,Status,Deep link,Related to
" Improper use of negative value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/888afcd7f2fefb215d8f55a4506076d5245d81b5d4466c35bebc6cf831701cc9"," 2021 OWASP Top 10, PCI DSS 2018"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFCompat.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8984c46267c91f94168fc521432dac474c31cef92e7435b276ff50f0973dd5ec"," 2021 OWASP Top 10, PCI DSS 2018"
" Operands don't affect result"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8b76ffb40c6231706e36a51650aedb316e05bb69ed597000e0dcbc74db9e03f0"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/72dee757-7a73-41e9-abc7-a695d3a89f7a/issues/8c07e1f3c5778ee1030c4eeb4f25a11703d12a1aae6798baed21970ce117026e"," No Related Standards"
" Explicit null dereferenced"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayReceiverSession.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8c999c0adfc50930143342e2670d4b60a061931ce3b14cefafcce8ebddeed00f"," PCI DSS 2018, 2021 CWE Top 25"
" Unchecked return value from library"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/KeychainLiteFile.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8cd2fb86f22c200221e7523c44ce4fafc384b545bb5839f807e98e7e5fb2da55"," 2021 OWASP Top 10, PCI DSS 2018"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFCompat.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8d35bdea53ae6af539730d02716963d15785b84554f9acc75321f1d97634114d"," 2021 OWASP Top 10, PCI DSS 2018"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8f00f981411597c1efc80bf5ff2e7469c31801b1ae613db78eb5416e44010f47"," No Related Standards"
" Bad bit shift operation"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayReceiverSession.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8f45066b3141a96f5151894eb67b58ac6182ccf465a7638b6982f0bd4223158b"," No Related Standards"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/CarPlayControlClient.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/8f6113f2f49749b807a04783af151d0ca657694c5258f1408b8bd307c11f74f2"," PCI DSS 2018, 2021 CWE Top 25"
" Out-of-bounds access"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/srp6_client.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/91868d1e59e43d3723578d374d653a6bad74337f315f99fe3a7a0c8514a7667a"," 2021 OWASP Top 10, PCI DSS 2018, 2021 CWE Top 25"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLite.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/92233b06e2e68985b09a7b47d965084c31610d70ce51b3e8e4fd1fe5d3eea07a"," No Related Standards"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/StringUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9317263d4fc24fb6d8feed21f76825824012f47d8631a415644e637965a7566e"," No Related Standards"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayReceiverSession.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/96074c816b611f921e055213077bf53230b6783c4389739362143e7eac80a35c"," No Related Standards"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/t_math.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/968d8ddfedd085f638e3efbe04ee01f0e31462949381a611a1d3d687b284034a"," 2021 OWASP Top 10, PCI DSS 2018"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/97623783773ba619d152b7ec3036ea4b6d0c3c3e6dd4b6b1c19c234fded8b7b1"," No Related Standards"
" Operands don't affect result"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/ChaCha20Poly1305.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9d4c183b206cb3cfe16dea5737432c02ada218fee81688160ad792d5c6d6226d"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/72dee757-7a73-41e9-abc7-a695d3a89f7a/issues/9d909fbcb9c0ec79171697f0791b879b4e42545e8d4990bd631fb2bc89704fca"," No Related Standards"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFCompat.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9eb7aa6884def1aec262be1cf00967664ee2b5708cc4dd6175b360b01726a4f6"," 2021 OWASP Top 10, PCI DSS 2018"
" Logically dead code"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/BonjourBrowser.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9f9e8b6caba94cee699ecbb69b2834821bd0b5391f8b9b07c687be243a164c79"," No Related Standards"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9fa1a3e5c6ade369213e7a97e41c648ec60441177657c36f1467710a9471d9d2"," PCI DSS 2018, 2021 CWE Top 25"
" Out-of-bounds access"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/srp6_server.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/9fff8ff504779215b8b56ebd15b1578b7a92392b8768049584e2e5a10eae036f"," 2021 OWASP Top 10, PCI DSS 2018, 2021 CWE Top 25"
" Operands don't affect result"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/src/carplay-pulse-audio.cpp"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a0d541e58aa0bc311700d043df4d23d7f9a2f660b884fd0d768c68127c059f9b"," No Related Standards"
" Calling risky function"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLite.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a0dad91384597ae8a629dadb2fc96746862922f8e64335b284f4c14522c84fcf"," PCI DSS 2018"
" Waiting while holding a lock"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLiteRunLoopSelect.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a11c9742a074b3fe65d08eeaab17adfc1600ef9bbbecc3f31f18650c9fd0bcbc"," No Related Standards"
" Copy-paste error"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/ChaCha20Poly1305.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a1d6436ed1132c398d4b51d02aedf846619d99968431c50353cf65202b9209d3"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/72dee757-7a73-41e9-abc7-a695d3a89f7a/issues/a205d56618a6061752bb3cf85d4c0d7a211dc9b0365395275c4d96ff67f626ae"," No Related Standards"
" Logically dead code"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/NetTransportChaCha20Poly1305.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a2602a465d6534cdef8ea3d2664995f5e9b4fe040a01870ce95fb723d6c85023"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a2d5c75e882aca4322ddd0fadef627b3c1b0ac0c884888e6b93511262cf5fb90"," No Related Standards"
" Dereference before null check"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayReceiverServer.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a39ed304b9bd2837f568a7cffec420ee8924bd56d9bd36c29ac3a9c31f056c8f"," PCI DSS 2018, 2021 CWE Top 25"
" Bad bit shift operation"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirPlayReceiverSession.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a4232816f14cb1bc2d4a6d74677909015d89323b410e765f000e1195a5a02323"," No Related Standards"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/src/carplay-pulse-audio.cpp"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a4565c6aaa46747a949a4fd700fa13871a0243c1c4c2b5902806693e1235346e"," PCI DSS 2018, 2021 CWE Top 25"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLiteRunLoopSelect.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a4a43b71b2dfc50092d22fc65605426d4e48cb819f32255cb768fb9f2e5482be"," No Related Standards"
" Logically dead code"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/Ed25519/ed25519.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a573cb02449cd05ef236bf7e543e9723c74f076ecff5faa7dd092df86c9a8018"," No Related Standards"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/t_math.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a66228203ce1c3c31bbd152668c8964ba251aff16cbdbcc08d115bcecb0b49a3"," 2021 OWASP Top 10, PCI DSS 2018"
" Logically dead code"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/AirTunesClock.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a6806b6710d38b251e4acc485be1ea2728f2fc235ff4b0cd9571b9bf26a031d5"," No Related Standards"
" Waiting while holding a lock"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/PairingUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a74687863358ea697e1d684c2ba1f26999dc05578e8d5343c26b4c4f63ec1f2c"," No Related Standards"
" Unchecked return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLiteBinaryPlist.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/a9a326266f0817294b6e7dc91c555451c887f2bf0ed36db70e5bb07a3d3a4889"," 2021 OWASP Top 10, PCI DSS 2018"
" Uninitialized scalar field"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/src/carplay-pulse-audio.cpp"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/ab2d5bae11ab3c47c53b8946c7d0096f63b6ff9981b226317ff6dcc3d944798b"," No Related Standards"
" Recursion in included headers"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/DebugServices.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/abfa9b7c806216b644ebc2c98ea62020ae4729143f767eab4ce1d516fce42bb3"," No Related Standards"
